pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
4221379,2,9,1,1,1,2,2,30,20,5,5,1,9,10,55000,55000
8667624,2,9,1,2,2,2,2,0,0,0,0,2,9,0,0,0
6388491,2,9,1,1,2,2,2,0,0,0,0,2,9,0,50000,50000
8037227,2,9,2,1,2,2,2,0,0,0,0,1,9,0,50000,50000
9154035,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
5216616,2,9,2,1,2,2,2,10,15,35,1,1,9,2,25000,25000
4948851,2,9,1,1,1,1,1,55,0,55,0,1,9,4,85000,85000
8867971,2,9,1,1,1,2,2,55,0,55,0,1,9,4,55000,55000
9101086,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2720809,0,9,1,2,2,2,2,0,0,0,0,9,2,0,0,0
5462371,2,9,1,1,2,2,2,0,0,0,0,2,9,0,0,0
8849627,2,9,2,2,2,2,2,0,0,0,0,2,9,0,75000,75000
9002064,2,9,2,2,2,2,2,0,0,0,0,2,9,0,25000,25000
8569475,2,9,1,1,2,1,2,0,0,0,0,2,9,0,75000,75000
1682200,2,9,2,1,2,1,2,20,18,2,0,1,9,12,1275000,1275000
2106325,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
4799427,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
